,number,value,params_freeze,params_gamma,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,2.1007683277130127,4,5,224,0.006875116310288597,densenet121,9,6,7,24,COMPLETE
1,1,7.0534868240356445,4,8,224,3.3327071948198673e-06,resnet34,7,9,2,27,COMPLETE
2,2,2.3093972206115723,1,8,512,0.020092579670291193,resnet50,7,4,2,27,COMPLETE
3,3,2.919917345046997,3,7,512,9.195711093584041e-06,densenet121,4,2,10,19,COMPLETE
4,4,3.9559693336486816,3,6,224,1.7298960752692157e-06,resnet18,4,3,10,18,COMPLETE
5,5,2.4884750843048096,-1,9,224,0.025968112020783182,densenet121,10,7,9,30,COMPLETE
6,6,3.0333924293518066,1,6,512,0.00010148574536523249,resnet18,8,4,8,19,COMPLETE
7,7,5.302896022796631,0,5,512,0.02873829670448537,densenet121,4,3,10,28,COMPLETE
8,8,2.812352180480957,0,6,224,0.00019287621650416727,resnet18,3,3,4,27,COMPLETE
9,9,5.35431432723999,0,7,512,0.038525409067471705,densenet121,4,8,10,20,COMPLETE
10,10,2.219562530517578,4,10,224,0.0028773859267094033,resnet34,10,6,6,23,COMPLETE
11,11,2.187647819519043,4,10,224,0.0025927549941116993,resnet34,10,6,6,23,COMPLETE
12,12,1.8377659320831299,3,10,224,0.0023847850674232063,resnet34,9,6,6,23,COMPLETE
13,13,1.9713356494903564,3,5,224,0.0015278159466446044,resnet50,8,10,7,15,COMPLETE
14,14,1.772754192352295,2,9,224,0.0008021577881948069,resnet50,6,10,5,15,COMPLETE
15,15,2.3519504070281982,2,9,224,0.0005520470869941561,resnet50,6,8,4,15,COMPLETE
16,16,3.3690898418426514,2,9,224,3.062441268785399e-05,resnet50,6,10,4,21,COMPLETE
17,17,1.9157801866531372,2,10,224,0.0006555092692937314,resnet34,5,5,5,17,COMPLETE
18,18,2.8690898418426514,3,9,224,0.00012004640591958245,resnet50,2,8,5,25,COMPLETE
19,19,1.6486406326293945,1,10,224,0.010387536058851883,resnet34,8,7,3,21,COMPLETE
20,20,1.6758273839950562,1,8,224,0.005497744995068348,resnet50,7,9,3,17,COMPLETE
21,21,1.6716903448104858,1,8,224,0.008818043720308815,resnet50,7,9,3,17,COMPLETE
22,22,5.411643028259277,1,8,224,0.08519765723424409,resnet50,7,9,3,17,COMPLETE
23,23,1.8223994970321655,1,7,224,0.006299253048955473,resnet50,8,9,3,21,COMPLETE
24,24,5.477245807647705,-1,8,224,0.009792315979671727,resnet34,9,7,3,17,COMPLETE
25,25,5.411643028259277,0,8,224,0.0826275892454403,resnet50,7,7,2,21,COMPLETE
26,26,2.4335105419158936,1,9,512,0.011748932705984887,resnet50,5,9,3,16,COMPLETE
27,27,1.8354018926620483,0,7,224,0.004115734592770271,resnet34,8,8,4,19,COMPLETE
28,28,1.7656619548797607,1,8,224,0.0009541341606398157,resnet18,5,7,2,17,COMPLETE
29,29,1.6403664350509644,2,10,224,0.011929386284188432,resnet50,9,9,3,25,COMPLETE
30,30,1.7408392429351807,2,10,224,0.018063334736448868,resnet34,9,10,5,25,COMPLETE
31,31,1.777482271194458,1,10,224,0.006122015919269135,resnet50,8,9,3,25,COMPLETE
32,32,4.369680881500244,2,9,224,0.04790297837564179,resnet50,7,9,2,22,COMPLETE
33,33,1.7000590562820435,1,10,224,0.008649479281040423,resnet50,9,8,4,24,COMPLETE
34,34,1.8767729997634888,2,8,224,0.011806488980993155,resnet50,7,9,2,26,COMPLETE
35,35,2.354905366897583,1,7,512,0.0014942616215660094,resnet50,8,5,3,18,COMPLETE
36,36,5.477245807647705,0,9,224,0.01574121855595928,densenet121,7,10,2,20,COMPLETE
37,37,5.477245807647705,1,8,224,0.04347353615694784,resnet50,9,7,3,18,COMPLETE
38,38,1.684692621231079,2,6,512,0.005313038167723279,resnet18,6,8,4,16,COMPLETE
39,39,2.172281265258789,0,9,224,0.00041935320773104875,resnet34,8,9,7,28,COMPLETE
40,40,2.979609966278076,1,10,512,2.762292314092914e-05,densenet121,10,5,2,20,COMPLETE
41,41,1.7532505989074707,2,6,512,0.004996452192597146,resnet18,6,8,4,16,COMPLETE
42,42,1.752659559249878,3,5,512,0.021922324674674514,resnet18,7,8,3,18,COMPLETE
43,43,1.760933756828308,2,6,512,0.0027924686908667507,resnet18,5,7,4,16,COMPLETE
44,44,1.9258273839950562,1,6,512,0.001435172957800888,resnet18,6,8,3,30,COMPLETE
45,45,1.697695016860962,2,7,512,0.0042935060042853775,resnet18,7,9,4,19,COMPLETE
46,46,5.124409198760986,0,7,512,0.0322228814758269,resnet18,8,2,8,16,COMPLETE
47,47,3.5558509826660156,3,8,224,1.4673271525200498e-06,resnet34,10,10,2,22,COMPLETE
48,48,1.7041962146759033,2,5,224,0.05936184876523765,densenet121,6,7,5,24,COMPLETE
49,49,2.335401773452759,1,10,224,0.00024722522328754867,resnet50,8,8,3,15,COMPLETE
50,50,3.481973886489868,2,6,512,3.7933175779624233e-06,resnet50,6,6,4,26,COMPLETE
51,51,1.8897753953933716,2,7,512,0.003675576134659919,resnet18,7,9,4,20,COMPLETE
52,52,2.252659559249878,2,7,512,0.00194800552916395,resnet18,7,9,3,19,COMPLETE
53,53,1.7910757064819336,3,6,512,0.00772576959052493,resnet18,7,10,5,18,COMPLETE
54,54,1.752659559249878,1,7,512,0.015377602724250065,resnet18,8,8,4,19,COMPLETE
55,55,1.7077423334121704,2,8,224,0.004380786612851649,resnet18,9,9,4,17,COMPLETE
56,56,1.6645981073379517,3,6,512,0.007124470475543853,resnet34,6,9,3,16,COMPLETE
57,57,5.477245807647705,4,5,224,0.02450812558995201,resnet34,6,10,3,16,COMPLETE
58,58,2.184692621231079,4,6,224,0.012031787717648226,resnet34,5,8,2,15,COMPLETE
59,59,1.7384752035140991,3,9,512,0.007075195237762626,resnet34,4,7,3,17,COMPLETE
60,60,5.477245807647705,3,10,224,0.030750104237757817,resnet34,6,9,2,29,COMPLETE
61,61,2.125,1,6,512,0.003188353105030891,resnet50,7,9,3,18,COMPLETE
62,62,1.7922576665878296,2,6,512,0.0020804956692542535,resnet34,6,8,4,17,COMPLETE
63,63,2.934692621231079,3,7,512,0.0010313509772997965,resnet50,7,9,3,16,COMPLETE
64,64,2.3430850505828857,1,5,512,0.005914148176960003,resnet34,8,10,4,19,COMPLETE
65,65,2.0635342597961426,2,8,512,0.009550669851086413,resnet50,9,9,5,22,COMPLETE
66,66,1.7733451128005981,1,7,224,0.01885640831664774,resnet18,7,10,6,15,COMPLETE
67,67,1.7668439149856567,2,10,224,0.00530273855047975,densenet121,8,8,3,21,COMPLETE
68,68,5.477245807647705,0,8,224,0.013208044044661022,resnet50,5,9,3,18,COMPLETE
69,69,2.1391844749450684,1,9,512,0.007938272268589525,resnet34,6,10,9,23,COMPLETE
70,70,2.0463948249816895,-1,7,224,0.004165467632607456,resnet50,2,6,4,17,COMPLETE
71,71,1.8566784858703613,1,10,224,0.008767249639962272,resnet50,9,8,4,24,COMPLETE
72,72,1.683510661125183,1,10,224,0.0028103228662500813,resnet50,9,9,4,26,COMPLETE
73,73,1.9287824630737305,1,10,224,0.002806578739661254,resnet50,9,9,5,26,COMPLETE
74,74,1.8147163391113281,1,10,224,0.0018386349063449952,resnet50,10,9,3,27,COMPLETE
75,75,1.9004137516021729,2,10,224,0.024141216304125756,resnet50,7,9,2,27,COMPLETE
76,76,2.0966312885284424,1,9,224,0.00117468334109226,resnet50,8,8,3,16,COMPLETE
77,77,2.0641252994537354,1,8,224,0.0005572290983679623,resnet18,9,9,5,28,COMPLETE
78,78,1.8767729997634888,0,10,512,0.003540620614647543,resnet34,6,10,4,19,COMPLETE
79,79,1.6137707233428955,2,6,224,0.005806192002710488,resnet50,8,8,6,25,COMPLETE
80,80,1.5416666269302368,3,6,224,0.010987203253449197,resnet50,10,7,6,25,COMPLETE
81,81,1.6911938190460205,3,6,224,0.01152173883427225,resnet50,10,7,6,25,COMPLETE
82,82,2.214834451675415,4,6,224,0.00643047982241337,resnet50,10,7,7,26,COMPLETE
83,83,1.6557328701019287,3,6,224,0.015324285163616029,resnet50,9,7,6,25,COMPLETE
84,84,5.302896022796631,3,5,224,0.06951332127010824,resnet50,9,6,7,25,COMPLETE
85,85,1.7408392429351807,3,6,224,0.04841992366157144,resnet50,9,7,6,24,COMPLETE
86,86,1.6102246046066284,3,6,224,0.017993360051937506,resnet50,10,7,6,25,COMPLETE
87,87,1.7065602540969849,3,6,224,0.016912490833764306,resnet50,10,7,6,25,COMPLETE
88,88,2.35017728805542,4,6,224,0.029002177246458025,resnet50,10,6,6,24,COMPLETE
89,89,1.6521867513656616,3,5,224,0.014395644477375433,resnet50,10,7,6,23,COMPLETE
90,90,1.7231087684631348,3,5,224,0.04064428532599421,resnet50,10,7,6,23,COMPLETE
91,91,1.7343380451202393,3,5,224,0.015448108424371729,resnet50,10,7,7,25,COMPLETE
92,92,1.5919030904769897,3,6,224,0.020985027277972794,resnet50,10,6,6,24,COMPLETE
93,93,1.6108156442642212,3,6,224,0.018888411827435093,resnet50,10,5,6,23,COMPLETE
94,94,5.35431432723999,3,6,224,0.03719702754241522,resnet50,10,4,6,23,COMPLETE
95,95,5.411643028259277,3,6,224,0.020143169233238122,resnet50,10,5,7,24,COMPLETE
96,96,1.6226359605789185,3,6,224,0.0107658530345847,resnet50,10,6,6,23,COMPLETE
97,97,2.249704599380493,4,6,224,0.011260493096663026,resnet50,10,6,6,23,COMPLETE
98,98,5.411643028259277,3,5,224,0.023557169735259686,resnet50,10,5,6,22,COMPLETE
99,99,1.6858747005462646,3,6,224,0.01404361423671844,resnet50,10,6,7,25,COMPLETE
